               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071863,            0.026337,            0.074828,             0.36201,            0.093474,            0.049022,            0.026931,            0.048966,           0.0097295,            0.066017,            0.070126,           0.0033194,           0.0033194
                   1,            0.048909,            0.021305,            0.066303,             0.40355,             0.10805,            0.070441,            0.045531,             0.03866,           0.0081971,            0.061266,             0.04006,           0.0065869,           0.0065869
                   2,            0.045846,            0.020018,            0.062777,             0.49885,             0.15936,             0.10438,            0.063648,            0.042599,           0.0081749,            0.057286,           0.0099278,           0.0097883,           0.0097883
                   3,             0.04283,            0.019548,            0.059629,             0.52729,             0.20168,             0.13011,            0.080581,            0.038729,           0.0089136,            0.052443,            0.009703,            0.009703,            0.009703
                   4,            0.040641,            0.020003,            0.056776,             0.51493,             0.27343,              0.1674,             0.10955,            0.038811,           0.0086344,            0.050072,            0.009703,            0.009703,            0.009703
                   5,            0.039198,            0.019567,            0.054063,             0.65106,             0.24137,             0.22226,             0.14953,            0.037206,           0.0083974,            0.050866,            0.009604,            0.009604,            0.009604
                   6,            0.038219,            0.019044,            0.052492,             0.42664,             0.37434,             0.27647,             0.17959,            0.036367,           0.0082012,            0.046575,            0.009505,            0.009505,            0.009505
                   7,              0.0365,            0.018868,            0.049788,              0.4454,             0.34825,             0.30027,             0.20673,            0.034931,           0.0081923,            0.044194,            0.009406,            0.009406,            0.009406
                   8,            0.036353,            0.018577,             0.04938,             0.45963,             0.40569,             0.30944,             0.21037,            0.035762,           0.0084076,            0.044174,            0.009307,            0.009307,            0.009307
                   9,            0.035822,            0.018287,            0.047153,             0.51963,             0.40322,             0.36004,             0.25214,            0.035883,           0.0082058,            0.041903,            0.009208,            0.009208,            0.009208
                  10,            0.035902,            0.018718,            0.045606,             0.59288,             0.40533,             0.38728,                0.27,            0.033798,           0.0080976,            0.042665,            0.009109,            0.009109,            0.009109
                  11,            0.035347,            0.017978,            0.044368,             0.56982,              0.4513,             0.41584,             0.29861,            0.034867,           0.0078363,            0.041203,             0.00901,             0.00901,             0.00901
                  12,             0.03555,            0.018625,            0.043266,             0.61884,             0.44024,             0.44556,               0.318,            0.033602,            0.008039,            0.044793,            0.008911,            0.008911,            0.008911
                  13,            0.034973,            0.018361,            0.042051,             0.54696,             0.43037,             0.40842,              0.2862,            0.034581,           0.0082385,            0.042297,            0.008812,            0.008812,            0.008812
                  14,            0.034472,            0.018332,            0.040303,             0.60985,             0.43453,               0.453,              0.3312,            0.033335,           0.0079347,            0.038325,            0.008713,            0.008713,            0.008713
                  15,            0.034045,            0.018212,            0.039266,               0.687,             0.45285,             0.50798,             0.36607,             0.03341,            0.007917,            0.035931,            0.008614,            0.008614,            0.008614
                  16,            0.034074,            0.017834,            0.040526,             0.69682,             0.46493,             0.52667,             0.38181,            0.033227,           0.0077712,            0.036358,            0.008515,            0.008515,            0.008515
                  17,            0.033431,            0.017861,            0.038074,             0.62212,             0.54697,             0.53023,              0.3876,            0.033257,           0.0078975,            0.041166,            0.008416,            0.008416,            0.008416
                  18,            0.033432,            0.017817,            0.037759,             0.56198,             0.54865,             0.54443,             0.38106,            0.033442,           0.0081539,            0.037929,            0.008317,            0.008317,            0.008317
                  19,            0.033285,            0.017227,            0.036012,             0.59492,              0.5296,             0.54812,             0.39551,            0.033191,            0.007655,            0.037042,            0.008218,            0.008218,            0.008218
                  20,            0.033163,            0.017402,            0.035736,             0.65148,             0.54029,              0.5623,             0.40829,             0.03219,           0.0077894,            0.038035,            0.008119,            0.008119,            0.008119
                  21,            0.033332,            0.017839,            0.034899,             0.68324,             0.53697,              0.5898,             0.42566,            0.031877,           0.0076371,            0.036649,             0.00802,             0.00802,             0.00802
                  22,            0.032398,            0.017263,            0.034934,             0.62429,             0.57984,             0.59465,               0.419,            0.032102,           0.0076859,            0.035772,            0.007921,            0.007921,            0.007921
                  23,            0.032499,            0.017402,            0.035528,              0.5936,             0.62428,             0.63341,             0.46871,            0.032368,           0.0077435,            0.034613,            0.007822,            0.007822,            0.007822
                  24,            0.032223,            0.017222,            0.034197,             0.67565,             0.56735,             0.62607,             0.45389,            0.032348,           0.0076369,            0.034825,            0.007723,            0.007723,            0.007723
                  25,             0.03238,            0.017102,            0.032555,             0.69119,             0.59993,             0.63213,             0.46986,            0.032952,           0.0076758,            0.034792,            0.007624,            0.007624,            0.007624
                  26,            0.032379,            0.016689,            0.031858,             0.65152,             0.58942,              0.6348,             0.46882,            0.032108,           0.0076763,            0.034665,            0.007525,            0.007525,            0.007525
                  27,            0.032036,            0.017043,             0.03118,             0.59927,             0.65591,             0.65761,             0.48712,            0.031769,           0.0074553,            0.033348,            0.007426,            0.007426,            0.007426
                  28,            0.031896,            0.016699,            0.031173,              0.6497,             0.62224,             0.64935,             0.47388,            0.032585,           0.0074803,            0.034587,            0.007327,            0.007327,            0.007327
                  29,            0.031722,            0.016931,            0.030535,             0.65496,             0.61041,             0.65261,             0.49367,            0.031359,           0.0074549,            0.032125,            0.007228,            0.007228,            0.007228
                  30,            0.031253,            0.016624,            0.030084,             0.74397,              0.6394,             0.69968,             0.52683,             0.03058,           0.0073744,            0.029728,            0.007129,            0.007129,            0.007129
                  31,            0.031373,            0.016689,            0.029356,             0.79995,             0.60292,             0.69584,             0.52627,            0.031478,           0.0074777,            0.032707,             0.00703,             0.00703,             0.00703
                  32,            0.031315,            0.016806,            0.027756,             0.75556,             0.64076,              0.7074,             0.53543,            0.031482,           0.0074469,            0.033731,            0.006931,            0.006931,            0.006931
                  33,            0.031011,            0.016765,            0.026825,              0.7604,             0.62423,             0.69847,             0.51699,             0.03132,            0.007388,            0.030847,            0.006832,            0.006832,            0.006832
                  34,            0.031003,             0.01698,            0.028781,              0.7449,             0.61628,             0.69724,             0.53406,            0.030433,           0.0074224,            0.033796,            0.006733,            0.006733,            0.006733
                  35,            0.029799,            0.015968,            0.027546,             0.77685,             0.66642,             0.72897,              0.5573,            0.030361,           0.0072629,            0.031522,            0.006634,            0.006634,            0.006634
                  36,            0.030416,            0.016247,            0.025708,             0.76293,             0.65984,             0.71799,             0.54703,            0.031291,           0.0076234,             0.03214,            0.006535,            0.006535,            0.006535
                  37,             0.03027,            0.016372,            0.025622,             0.71797,             0.68668,             0.72045,             0.55545,            0.030264,            0.007479,            0.029942,            0.006436,            0.006436,            0.006436
                  38,            0.030084,            0.016371,            0.025714,             0.80768,             0.66328,             0.75187,             0.57558,            0.030074,           0.0074179,               0.028,            0.006337,            0.006337,            0.006337
                  39,            0.030424,             0.01627,            0.026323,             0.79944,             0.65195,             0.72264,             0.54815,            0.030339,           0.0074904,            0.033164,            0.006238,            0.006238,            0.006238
                  40,            0.030117,            0.016088,            0.024905,              0.8181,             0.64525,             0.74101,             0.57678,            0.029097,           0.0073392,            0.028362,            0.006139,            0.006139,            0.006139
                  41,             0.02965,            0.016343,            0.025481,             0.78765,               0.658,             0.72452,             0.55893,            0.029684,           0.0074183,            0.031146,             0.00604,             0.00604,             0.00604
                  42,            0.030013,            0.016344,            0.025064,             0.81362,             0.63527,             0.73131,             0.55939,            0.030157,           0.0072471,            0.030466,            0.005941,            0.005941,            0.005941
                  43,            0.029311,            0.015628,             0.02361,             0.82318,             0.67789,             0.75184,              0.5709,            0.030494,           0.0073332,            0.030759,            0.005842,            0.005842,            0.005842
                  44,            0.029331,            0.015966,            0.023076,              0.7879,             0.68871,             0.75111,             0.57746,            0.029736,           0.0073339,            0.030652,            0.005743,            0.005743,            0.005743
                  45,            0.029251,            0.015928,            0.022634,             0.81871,             0.67957,             0.76092,             0.58318,            0.030174,            0.007225,            0.030356,            0.005644,            0.005644,            0.005644
                  46,            0.028704,            0.015805,            0.022853,             0.79272,             0.67444,             0.74458,             0.58124,            0.029439,           0.0073162,            0.033527,            0.005545,            0.005545,            0.005545
                  47,            0.028774,            0.015703,            0.022665,             0.83189,             0.69949,             0.77363,             0.60226,            0.029845,           0.0072484,            0.029652,            0.005446,            0.005446,            0.005446
                  48,            0.028832,            0.015606,            0.021597,             0.82556,              0.6701,             0.76289,             0.59772,            0.029241,           0.0071903,            0.029422,            0.005347,            0.005347,            0.005347
                  49,            0.028596,            0.015569,            0.022429,             0.82215,              0.6773,             0.76606,             0.59205,            0.030136,           0.0071804,            0.028214,            0.005248,            0.005248,            0.005248
                  50,            0.028559,            0.015685,            0.021373,             0.82183,             0.66382,              0.7516,             0.59125,            0.029671,           0.0072356,            0.031375,            0.005149,            0.005149,            0.005149
                  51,            0.028275,            0.015689,            0.021146,             0.79825,             0.68604,             0.75541,             0.59249,            0.030137,           0.0073257,            0.029941,             0.00505,             0.00505,             0.00505
                  52,            0.027844,            0.015289,             0.02219,             0.82325,             0.68204,             0.75611,             0.59124,            0.029034,           0.0072224,             0.03511,            0.004951,            0.004951,            0.004951
                  53,            0.028595,            0.015451,            0.021638,             0.81476,             0.70391,             0.77583,             0.59829,            0.030381,           0.0073237,            0.030356,            0.004852,            0.004852,            0.004852
                  54,            0.027957,            0.015859,            0.019676,             0.83919,             0.68404,              0.7665,             0.59622,            0.029544,           0.0072247,            0.032744,            0.004753,            0.004753,            0.004753
                  55,            0.027604,            0.015346,            0.020266,             0.85606,              0.6929,             0.78131,             0.62254,            0.029543,           0.0071172,            0.029372,            0.004654,            0.004654,            0.004654
                  56,            0.027807,            0.015537,            0.019597,             0.82666,             0.72517,             0.78721,               0.623,            0.029028,           0.0071614,            0.029043,            0.004555,            0.004555,            0.004555
                  57,            0.027874,            0.014953,            0.019507,             0.83086,             0.71102,              0.7883,             0.62672,            0.029127,           0.0071871,            0.028409,            0.004456,            0.004456,            0.004456
                  58,            0.027361,            0.015233,            0.018858,             0.84322,             0.71068,             0.78467,             0.62201,            0.029271,           0.0073141,            0.030512,            0.004357,            0.004357,            0.004357
                  59,            0.026778,            0.015148,            0.018453,             0.84803,             0.69619,             0.78066,             0.61664,            0.028855,           0.0072487,             0.03058,            0.004258,            0.004258,            0.004258
                  60,            0.027093,            0.014984,            0.019645,             0.85875,             0.69094,               0.787,             0.62586,            0.028879,           0.0072242,            0.032336,            0.004159,            0.004159,            0.004159
                  61,            0.027082,             0.01476,            0.018344,             0.83291,             0.71935,             0.79421,             0.62651,            0.028839,           0.0071062,            0.030587,             0.00406,             0.00406,             0.00406
                  62,            0.026688,            0.014628,            0.018225,             0.84125,             0.69848,             0.79064,             0.62771,            0.029323,           0.0071522,            0.032239,            0.003961,            0.003961,            0.003961
                  63,             0.02642,             0.01486,            0.017976,             0.82565,              0.7209,              0.7942,             0.62735,            0.028832,           0.0071828,             0.03094,            0.003862,            0.003862,            0.003862
                  64,            0.026638,            0.014731,             0.01725,             0.86613,             0.69792,             0.79337,             0.62566,            0.028973,           0.0070783,            0.029391,            0.003763,            0.003763,            0.003763
                  65,            0.026717,            0.014817,            0.017424,             0.86102,             0.71551,             0.79718,             0.63739,            0.028406,           0.0070493,            0.029933,            0.003664,            0.003664,            0.003664
                  66,            0.026367,            0.014868,            0.017535,             0.83573,             0.72568,             0.81044,             0.64239,             0.02885,            0.007086,            0.027553,            0.003565,            0.003565,            0.003565
                  67,            0.026346,            0.014668,            0.016332,              0.8202,             0.75748,             0.80536,             0.64102,            0.028524,           0.0070777,            0.028475,            0.003466,            0.003466,            0.003466
                  68,            0.026201,            0.014295,            0.016497,             0.82997,             0.74409,             0.80733,             0.63979,            0.028484,           0.0070567,            0.028515,            0.003367,            0.003367,            0.003367
                  69,            0.025539,            0.014455,            0.016153,             0.84394,             0.73615,             0.80571,             0.64453,            0.028696,           0.0069813,            0.029396,            0.003268,            0.003268,            0.003268
                  70,            0.025971,             0.01481,            0.015915,             0.85337,             0.71678,             0.79996,             0.64507,             0.02829,           0.0070487,            0.030851,            0.003169,            0.003169,            0.003169
                  71,            0.025348,            0.014507,            0.016411,              0.8509,             0.72322,             0.80526,             0.64421,            0.028238,           0.0069378,            0.027329,             0.00307,             0.00307,             0.00307
                  72,            0.025697,            0.014362,            0.015791,             0.83317,             0.74732,             0.81255,             0.65399,            0.028378,           0.0070541,            0.028354,            0.002971,            0.002971,            0.002971
                  73,            0.025088,            0.014334,            0.015795,             0.78905,             0.77669,             0.81139,             0.65502,            0.028462,            0.007018,            0.028609,            0.002872,            0.002872,            0.002872
                  74,            0.024932,            0.014595,            0.014291,             0.84658,             0.73626,             0.82039,              0.6572,             0.02849,           0.0070768,            0.028858,            0.002773,            0.002773,            0.002773
                  75,            0.025169,            0.014472,            0.015136,             0.85485,             0.73155,              0.8257,             0.66418,            0.028875,           0.0070414,            0.027061,            0.002674,            0.002674,            0.002674
                  76,            0.024795,            0.014519,            0.014199,             0.78871,             0.78679,             0.82598,             0.66576,            0.028882,           0.0070408,            0.028158,            0.002575,            0.002575,            0.002575
                  77,            0.025014,            0.014191,            0.014487,              0.8211,             0.76817,             0.82558,             0.66818,             0.02899,           0.0070316,            0.028531,            0.002476,            0.002476,            0.002476
                  78,            0.024628,              0.0143,            0.014655,             0.79527,             0.77943,              0.8216,             0.66261,            0.028587,           0.0069379,            0.031009,            0.002377,            0.002377,            0.002377
                  79,            0.024394,             0.01377,            0.014106,             0.79862,             0.78103,             0.83067,              0.6706,            0.028801,            0.006944,             0.02646,            0.002278,            0.002278,            0.002278
                  80,            0.024398,             0.01408,            0.014022,             0.79662,             0.78831,             0.83268,              0.6718,            0.028647,           0.0069732,            0.028802,            0.002179,            0.002179,            0.002179
                  81,            0.024216,             0.01401,            0.013647,             0.77716,             0.78334,             0.81808,             0.66238,            0.028208,           0.0069629,            0.029438,             0.00208,             0.00208,             0.00208
                  82,            0.024122,            0.014018,            0.013653,             0.77752,             0.80153,             0.83051,              0.6702,             0.02838,           0.0069334,            0.029132,            0.001981,            0.001981,            0.001981
                  83,            0.024292,            0.013851,            0.013316,             0.81914,             0.75958,             0.82389,             0.66478,            0.028871,           0.0069322,            0.030967,            0.001882,            0.001882,            0.001882
                  84,            0.023729,            0.013723,            0.013127,             0.80495,             0.77783,              0.8171,             0.66099,            0.028469,           0.0069681,            0.029846,            0.001783,            0.001783,            0.001783
                  85,            0.023992,            0.013961,            0.012777,             0.81683,             0.77875,             0.82221,             0.66981,            0.028465,           0.0070744,            0.029516,            0.001684,            0.001684,            0.001684
                  86,            0.023518,            0.013735,             0.01278,             0.78872,             0.80788,              0.8401,             0.68379,            0.028454,           0.0070021,            0.027456,            0.001585,            0.001585,            0.001585
                  87,            0.023275,            0.013709,            0.012376,             0.81997,             0.77402,             0.82341,             0.67024,            0.028491,           0.0070489,            0.028607,            0.001486,            0.001486,            0.001486
                  88,            0.023249,            0.013842,            0.011593,             0.81693,             0.77806,             0.82955,             0.67798,            0.028475,           0.0070256,             0.02892,            0.001387,            0.001387,            0.001387
                  89,             0.02288,            0.013336,            0.012534,             0.84938,             0.77361,             0.82963,             0.67384,            0.028487,            0.007058,            0.029404,            0.001288,            0.001288,            0.001288
                  90,            0.023021,            0.013504,            0.011529,             0.86516,             0.76241,             0.82698,              0.6717,            0.028514,           0.0070249,            0.029514,            0.001189,            0.001189,            0.001189
                  91,            0.022731,            0.013488,             0.01172,             0.84178,             0.79451,             0.83313,             0.67736,            0.028724,           0.0071093,            0.028883,             0.00109,             0.00109,             0.00109
                  92,            0.022852,            0.013614,            0.011731,             0.79287,             0.79237,             0.82648,             0.67657,            0.028578,           0.0070627,            0.028783,            0.000991,            0.000991,            0.000991
                  93,             0.02243,            0.013248,            0.011738,             0.83399,             0.78651,              0.8273,             0.67839,            0.028328,           0.0070249,            0.030276,            0.000892,            0.000892,            0.000892
                  94,            0.022188,            0.013537,            0.011369,             0.85198,             0.78128,             0.83071,             0.68261,             0.02843,           0.0070126,            0.030807,            0.000793,            0.000793,            0.000793
                  95,            0.022139,            0.013144,            0.011198,             0.84871,             0.77847,             0.83359,             0.68518,            0.028578,           0.0070906,            0.030156,            0.000694,            0.000694,            0.000694
                  96,            0.022064,             0.01335,            0.011383,             0.82644,             0.78477,             0.83305,             0.68344,            0.028674,           0.0070559,            0.029983,            0.000595,            0.000595,            0.000595
                  97,            0.022012,            0.013198,            0.010952,              0.8444,             0.78552,             0.82972,             0.68356,            0.028388,             0.00706,            0.031574,            0.000496,            0.000496,            0.000496
                  98,            0.021679,            0.013348,            0.010753,             0.84659,             0.78193,             0.83648,             0.69174,            0.028565,           0.0071023,            0.031014,            0.000397,            0.000397,            0.000397
                  99,            0.021388,            0.013099,            0.011045,             0.85045,             0.77783,             0.83654,             0.69115,            0.028487,           0.0071178,            0.030936,            0.000298,            0.000298,            0.000298
